"station_id","name","lat","lon"
"25868dc8-dcc9-4dcb-a792-85078416c10b","GRE123","45,188426","5,736115"
"fa7c0205-004e-4ade-9129-719c35312fb9","GRE224","45,1594","5,72777"
"59fae28e-4c09-40b9-a86b-96af34504281","GRE118","45,18025","5,70709"
"f4061e35-fb5d-4609-920b-e60ca461cd0b","GRE097","45,179791","5,745188"
"2cd02ad9-02b5-4fab-9bcb-5665a6c99bf0","GRE067","45,183998","5,710009"
"7b7ffadc-c64e-4446-91f7-886c70c422a8","GRE069","45,181818","5,709611"
"c27da5e3-a274-481e-a92a-50d237573451","GRE058","45,180004","5,723629"
"75be91a6-83fd-4b32-82b3-2b9678ad06a2","GRE024","45,179255","5,740697"
"f53d4e91-074c-4a6a-9a6c-a7dcdbcdb928","GRE079","45,187007","5,720908"
"98a26799-b390-405a-8236-7211fe0074d2","GRE205","45,190378","5,722747"
"d6808fe4-28f8-418c-8f41-407e402d85ac","GRE206","45,18727","5,72263"
"955485b3-2074-4bcd-ae65-9a501fab4e84","GRE007","45,184172","5,706826"
"29d71a56-9efe-44ef-bf50-08c2a04e6725","GRE043","45,174823","5,719082"
"60f761cc-85dc-46c4-8d29-bb42bcb75833","GRE194","45,16147","5,72058"
"67d07463-f83c-4b66-a13b-0424f961f787","GRE178","45,162465","5,71624"
"a82199b6-ad13-441c-ad57-5d936bb6c681","GRE258","45,19289","5,73505"
"fa719946-2587-4160-9ab7-a375e63eb341","GRE134","45,18256","5,70573"
"9fc63f00-c3ee-48f4-b1ad-33fcb5e80ca6","GRE161","45,18373","5,71168"
"94bba877-37c4-4728-ab16-9dc00b867917","GRE219","45,17564","5,72605"
"c72ad5c9-772a-4a2e-b22a-330ff4122cb7","GRE207","45,191543","5,723074"
"c1eba6b4-ce24-4904-8363-10753e1f2d2b","GRE159","45,17896","5,71118"
"3ddb991d-f93c-4e5a-9616-231caf7e6193","GRE288","45,18031","5,74391"
"14e52abf-e789-472c-84d4-74a0d6f23a20","GRE247","45,186184","5,732669"
"66468746-95a4-4f66-a1d5-d4bcf0398ad2","GRE072","45,188906","5,734529"
"6ea6f8dd-fec5-4969-b825-cb7417b90253","GRE085","45,18118","5,731924"
"8efb37d7-be4d-4bed-acba-a73a205671b0","GRE117","45,19809","5,7184"
"c2de29ca-ea37-4119-a44f-f3ac36c8910c","GRE087","45,176275","5,732628"
"e1f0d9e8-9db2-4624-b64d-5c541d3923cb","GRE013","45,168955","5,722234"
"5f0a15f4-a054-4b75-b7f7-ee2ec068cbc5","GRE238","45,17704","5,7311"
"a6b9e266-4909-46df-b4b1-68d1b478b59b","GRE004","45,181427","5,7413"
"d4d15047-d642-47f8-80be-d6839946f4d1","GRE065","45,185301","5,70926"
"999258de-e78a-498d-9d56-803b3eb1fa1a","GRE195","45,190262","5,721292"
"24052776-2bd4-432e-83d9-9885d62f8500","SMV016","45,212931","5,688784"
"cac1a2ca-1cde-4d80-a6d4-bab1d10e3c95","SMH026","45,180916","5,749977"
"5a3eca62-2838-402c-bce3-afe6b5c20996","SEG001","45,22966","5,68163"
"fec49280-b6c0-41af-a4bf-882f2611b4dd","SEY015","45,155915","5,679689"
"c9b7b311-f4a8-4813-a446-13af68b08b7f","DUA012","45,187335","5,768946"
"c203ef3a-15d4-4f3d-8e07-68b9e6b70748","SEP002","45,174232","5,694117"
"48b34a6f-57ba-431f-a599-03f56fdee83c","GIE005","45,180059","5,78385"
"ef10aeda-0530-49e0-b545-c05a1f9ef35e","EYB006","45,15661","5,73917"
"b4dea1bd-6768-4584-a633-1a08876b241b","DUA005","45,192023","5,758123"
"534382b5-78cb-416b-af26-c2d130748f47","DUA025","45,195037","5,765319"
"8d75418d-1b6d-4659-ba8a-1b479cacf409","SMH003","45,179841","5,764759"
"1003f6da-2f20-4490-b852-a4ef2a807f76","MEY027","45,207611","5,789106"
"06bfe75a-32ed-4095-a3bf-640b175770c2","ECH045","45,158437","5,72133"
"d79b4a26-1c68-40f1-b4dc-7c726ac2b758","PON007","45,12529","5,699743"
"0648c08b-e442-45db-83e5-88250e70599f","ECH011","45,15306","5,71885"
"4f361b8f-ba2f-4303-b291-3d462a860bfa","SEG005","45,233627","5,678211"
"52d4db92-ea67-4240-9335-89b8825f08aa","LAT006","45,200123","5,745295"
"ea735c2a-77c2-4366-84dc-bcfca3652e03","PON013","45,131602","5,696302"
"fe92da1a-e6a1-495f-a326-3f9c4d5637c3","DUA013","45,18868","5,77082"
"090c6105-b648-497c-84f4-08aa8f05744d","ECH027","45,14798","5,71806"
"e577463d-8294-489a-91fb-477b93b0df5a","GRE259","45,19595","5,7352"
"5c160b4b-dea3-4260-9163-f64d611197f9","GRE089","45,179024","5,720269"
"91fbd092-b4db-473c-ad28-dc6234905a71","GRE032","45,166065","5,739769"
"2716c18c-567c-41da-9481-54ff9c00b855","GRE053","45,168315","5,714332"
"fc7b0afe-8e1f-42bc-a122-c817f8b90965","POI002","45,157076","5,762112"
"c7c0c586-7fe3-4687-b006-4433a0d512ed","SMH039","45,178558","5,774262"
"0c063e36-075e-4d93-8f34-12a572a080a6","MEY007","45,20416","5,77567"
"04645edb-c1ac-4798-b3ba-87ced2d8827d","SMH002","45,179759","5,769614"
"21b424c8-8518-4747-8e4a-5e44a561b557","SEP006","45,18274","5,694083"
"84a65473-e635-4cf7-883d-4c55efc965c1","GIE006","45,188268","5,784234"
"3705f342-49ee-4301-98d0-5f4722695f2f","ECH034","45,14942","5,70001"
"5f756bbc-1520-481d-a89f-b819a529f97d","DUA006","45,191562","5,760548"
"52d1b29b-68e1-4a0d-ac73-b6c612596a81","SMH009","45,166977","5,746069"
"16ca7115-23dd-4efc-a131-b5e5d20d9b30","SEG021","45,232773","5,679353"
"abd08715-8fc6-43a7-bdcb-36383a464fe0","DUA023","45,194301","5,765869"
"8fe5b095-1498-405e-9a6e-90ebf6595181","SMH047","45,186005","5,759777"
"30ddccd2-b6d0-4ca8-a9ea-cbc1624fbd7e","SMH001","45,1847","5,77825"
"a725d5fb-a381-4b7a-a9a6-6d429ccabd08","GRE184","45,17357","5,71794"
"0d3ff0cc-9b58-4045-9e48-06e6d280bf89","SMH010","45,165191","5,748599"
"fc4c20f8-80c9-4f85-a9de-c4b49f39a6c4","MEY010","45,20371","5,76287"
"00a497bd-e740-4c08-9bce-764f32d0c647","ECH033","45,152436","5,704289"
"be51877c-9599-4a3c-9096-5ae0665e6da9","FON003","45,197918","5,680465"
"b1afa00e-531c-4ea6-b915-11d86bd14dc5","MEY009","45,223116","5,793161"
"7dad69c6-0dd4-4cad-a2e4-c8889a267c5b","SAS013","45,199796","5,669184"
"bdae8dd7-baaf-4da5-b8b0-492077ba03d1","SEP013","45,17092","5,694198"
"9b965aef-f82c-4dd1-99bd-32b19dcc3247","DUA021","45,192687","5,770696"
"224147f1-e2b2-4d2a-8abb-6ae64e5a5d78","SMV007","45,210098","5,702876"
"6f289569-bda8-44e7-8d49-87ab2edd0d98","SMV001","45,207534","5,707355"
"c74ae51d-76a9-4380-a3da-a08d09659487","SEY012","45,148538","5,67795"
"78a86c82-74cc-4ac2-84a4-0665c599aebb","SEG016","45,237912","5,688644"
"ec7bf82a-ea73-4e87-bbaa-8fa8b08575d2","ECH021","45,145522","5,725493"
"48d83162-006d-43d3-ad3c-627da898f818","EYB002","45,14766","5,75118"
"042e616f-d0b5-4a52-9731-41890ad11b89","SAS018","45,220333","5,663333"
"0fa507b2-c4c6-4d92-a440-75064fcb9577","SMH020","45,183539","5,766142"
"8e2847eb-9fc4-42d0-a0ac-3388eca1d160","MEY020","45,211582","5,773964"
"2259556a-7969-4e55-97ec-9c7f366d19f6","SEP009","45,172454","5,699196"
"073c8e55-cf0b-4dad-8480-c2336e1dbc90","SEP014","45,17542","5,687603"
"4c0e57c0-cd80-4314-8dc6-8dec021a8bbb","SEP004","45,174424","5,696974"
"1919055c-4b5d-47d9-bfb8-90690f60e5fb","SEG002","45,222197","5,689907"
"20e164ef-65de-4b18-bd58-887b98930f8b","MEY024","45,207244","5,784799"
"242a9b2f-4974-45ba-afd5-47ec17180115","MON011","45,228829","5,817534"
"8a0771fe-48cf-45fa-87b5-276c8e453ecc","LAT007","45,20156","5,741762"
"5f8c5f56-fd39-4936-acd8-bc8993022966","EYB005","45,161483","5,743951"
"1e023a8a-78c5-41d6-91dc-550fcffaf2cb","SMH048","45,186281","5,755029"
"34117e03-b13c-4994-a411-bef2cddd7585","FON008","45,190796","5,692825"
"daa93ff2-4507-4538-b1eb-06cc2a875e39","ECH032","45,145435","5,704477"
"4a5cc58e-fe13-4383-8234-996e50c8717d","POI001","45,159359","5,758084"
"e0f771e8-69a4-4941-a730-033dfea08d57","LAT015","45,191789","5,744362"
"38cac121-fd04-49c8-bd29-b21c6a7aeefe","SMH008","45,168852","5,755623"
"0f0d2f9d-9004-4f8b-93c8-1061d7616e3e","FON032","45,198721","5,692845"
"3fdc9176-eaa5-4a7f-904a-b2be987928ad","SMV004","45,215254","5,697623"
